producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps
1,3,0,0,1,3,0,0,8,1,1,854.226
1,3,0,0,1,3,0,0,8,2,1,886.966
1,3,0,0,1,3,0,0,8,3,1,877.509
1,3,0,0,1,3,0,0,8,4,1,887.845
2,0,0,0,2,0,0,0,0,0,1,302.326
2,0,0,0,2,0,0,0,0,1,1,299.649
2,0,0,0,2,0,0,0,0,2,1,301.185
2,0,0,0,2,0,0,0,0,3,1,300.66
2,0,0,0,2,0,0,0,0,4,1,300.528
2,0,0,0,2,0,0,0,1,0,1,298.628
2,0,0,0,2,0,0,0,1,1,1,299.436
2,0,0,0,2,0,0,0,1,2,1,298.643
2,0,0,0,2,0,0,0,1,3,1,298.163
2,0,0,0,2,0,0,0,1,4,1,301.11
2,0,0,0,2,0,0,0,2,0,1,351.1
2,0,0,0,2,0,0,0,2,1,1,350.61
2,0,0,0,2,0,0,0,2,2,1,349.854
2,0,0,0,2,0,0,0,2,3,1,350.135
2,0,0,0,2,0,0,0,2,4,1,344.247
2,0,0,0,2,0,0,0,3,0,1,487.64
2,0,0,0,2,0,0,0,3,1,1,487.261
2,0,0,0,2,0,0,0,3,2,1,487.864
2,0,0,0,2,0,0,0,3,3,1,484.387
2,0,0,0,2,0,0,0,3,4,1,483.712
2,0,0,0,2,0,0,0,4,0,1,792.757
2,0,0,0,2,0,0,0,4,1,1,784.865
2,0,0,0,2,0,0,0,4,2,1,801.085
2,0,0,0,2,0,0,0,4,3,1,802.7
2,0,0,0,2,0,0,0,4,4,1,803.035
2,0,0,0,2,0,0,0,5,0,1,691.844
2,0,0,0,2,0,0,0,5,1,1,691.496
2,0,0,0,2,0,0,0,5,2,1,703.748
2,0,0,0,2,0,0,0,5,3,1,692.503
2,0,0,0,2,0,0,0,5,4,1,701.237
2,0,0,0,2,0,0,0,6,0,1,722.583
2,0,0,0,2,0,0,0,6,1,1,728.002
2,0,0,0,2,0,0,0,6,2,1,732.997
2,0,0,0,2,0,0,0,6,3,1,716.351
