producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
0,25,0,1,0,1,0,0,0,3,1,97.9873649178,16577400,4.347708
0,25,0,1,0,1,0,0,0,4,1,75.2250659972,16577400,4.347708
0,26,0,1,0,2,0,0,0,0,1,151.609779636,12140520,5.936698
0,26,0,1,0,2,0,0,0,1,1,157.480831778,12140520,5.936698
0,26,0,1,0,2,0,0,0,2,1,165.600848964,12140520,5.936698
0,26,0,1,0,2,0,0,0,3,1,120.798623002,12140520,5.936698
0,26,0,1,0,2,0,0,0,4,1,88.9567406146,12140520,5.936698
0,27,0,1,0,3,0,0,0,0,1,85.6045942255,11592000,6.21762
0,27,0,1,0,3,0,0,0,1,1,78.751229953,11592000,6.21762
0,27,0,1,0,3,0,0,0,2,1,78.2198068071,11592000,6.21762
0,27,0,1,0,3,0,0,0,3,1,72.6147997419,11592000,6.21762
0,27,0,1,0,3,0,0,0,4,1,102.097951729,11592000,6.21762
0,28,0,1,0,4,0,0,0,0,1,99.0476498875,17202360,4.189777
0,28,0,1,0,4,0,0,0,1,1,102.241721402,17202360,4.189777
0,28,0,1,0,4,0,0,0,2,1,111.663088161,17202360,4.189777
0,28,0,1,0,4,0,0,0,3,1,117.512544707,17202360,4.189777
0,28,0,1,0,4,0,0,0,4,1,103.873065495,17202360,4.189777
0,29,0,1,0,5,0,0,0,0,1,117.665225845,12355560,5.833375
0,29,0,1,0,5,0,0,0,1,1,144.756416279,12355560,5.833375
0,29,0,1,0,5,0,0,0,2,1,76.3576792008,12355560,5.833375
0,29,0,1,0,5,0,0,0,3,1,89.786797233,12355560,5.833375
0,29,0,1,0,5,0,0,0,4,1,94.167821234,12355560,5.833375
0,30,0,1,0,6,0,0,0,0,1,86.112405335,18011280,4.001665
0,30,0,1,0,6,0,0,0,1,1,93.6930054673,18011280,4.001665
0,30,0,1,0,6,0,0,0,2,1,88.9809222948,18011280,4.001665
0,30,0,1,0,6,0,0,0,3,1,83.5507248948,18011280,4.001665
0,30,0,1,0,6,0,0,0,4,1,101.315610935,18011280,4.001665
0,31,0,1,0,7,0,0,0,0,1,60.0650096635,14778120,4.87701
0,31,0,1,0,7,0,0,0,1,1,121.685054069,14778120,4.87701
0,31,0,1,0,7,0,0,0,2,1,58.860617771,14778120,4.87701
0,31,0,1,0,7,0,0,0,3,1,88.8841916352,14778120,4.87701
0,31,0,1,0,7,0,0,0,4,1,70.4260499812,14778120,4.87701
1,0,0,0,1,0,0,0,0,0,1,353.124272084,33580680,2.146257
1,0,0,0,1,0,0,0,0,1,1,360.255986841,33580680,2.146257
1,0,0,0,1,0,0,0,0,2,1,351.444296396,33580680,2.146257
1,0,0,0,1,0,0,0,0,3,1,338.090377359,33580680,2.146257
1,0,0,0,1,0,0,0,0,4,1,357.959575798,33580680,2.146257
1,2,0,0,1,2,0,0,0,0,1,289.54002758,31933440,2.256994
1,2,0,0,1,2,0,0,0,1,1,318.639294751,31933440,2.256994
1,2,0,0,1,2,0,0,0,2,1,350.614947285,31933440,2.256994
1,2,0,0,1,2,0,0,0,3,1,322.468340817,31933440,2.256994
1,2,0,0,1,2,0,0,0,4,1,334.507023074,31933440,2.256994
1,3,0,0,1,3,0,0,0,0,1,56.002381162,33222840,2.169369
1,3,0,0,1,3,0,0,0,1,1,67.9323570812,33222840,2.169369
1,3,0,0,1,3,0,0,0,2,1,61.1878695182,33222840,2.169369
